Date,^KS11,^GSPC,KRW=X,^TNX,^VIX,HG=F,EEM,CL=F,DX-Y.NYB,GC=F,JPYKRW=X,CHF=X,^VVIX
2015-06-16,2028.719970703125,2096.2900390625,1114.530029296875,2.318000078201294,14.8100004196167,2.626499891281128,31.0003604888916,59.970001220703125,95.0,1180.5,9.036299705505371,0.9298400282859802,95.95999908447266
2015-06-17,2034.8599853515625,2100.43994140625,1116.77001953125,2.305999994277954,14.5,2.622999906539917,31.18729591369629,59.91999816894531,94.30000305175781,1176.4000244140625,9.054499626159668,0.9316999912261963,93.19000244140625
2015-06-18,2041.8800048828125,2121.239990234375,1111.5899658203125,2.3510000705718994,13.1899995803833,2.628499984741211,31.47549057006836,60.45000076293945,94.04000091552734,1201.5,9.005200386047363,0.9208999872207642,89.19999694824219
2015-06-19,2046.9599609375,2109.989990234375,1103.25,2.2669999599456787,13.960000038146973,2.5920000076293945,31.202878952026367,59.61000061035156,94.08999633789062,1201.5,8.975600242614746,0.9212999939918518,92.16000366210938
2015-06-22,2055.159912109375,2122.85009765625,1101.219970703125,2.359999895095825,12.739999771118164,2.5880000591278076,31.65464210510254,59.68000030517578,94.33000183105469,1183.699951171875,8.962599754333496,0.9181100130081177,83.87000274658203
2015-06-23,2081.199951171875,2124.199951171875,1098.780029296875,2.4089999198913574,12.109999656677246,2.634000062942505,31.966197967529297,61.0099983215332,95.43000030517578,1176.199951171875,8.910400390625,0.9211900234222412,78.8499984741211
2015-06-24,2085.530029296875,2108.580078125,1103.969970703125,2.371000051498413,13.260000228881836,2.6465001106262207,31.740318298339844,60.27000045776367,95.26000213623047,1172.5999755859375,8.917699813842773,0.9334999918937683,82.52999877929688
2015-06-25,2085.06005859375,2102.31005859375,1107.9200439453125,2.3929998874664307,14.010000228881836,2.6454999446868896,31.631242752075195,59.70000076293945,95.19000244140625,1171.5,8.950200080871582,0.9334999918937683,83.51000213623047
2015-06-26,2090.260009765625,2101.489990234375,1109.93994140625,2.4760000705718994,14.020000457763672,2.6449999809265137,31.33306312561035,59.630001068115234,95.47000122070312,1172.9000244140625,8.98960018157959,0.9365299940109253,83.08999633789062
2015-06-29,2060.489990234375,2057.639892578125,1120.9000244140625,2.3310000896453857,18.850000381469727,2.6384999752044678,30.634679794311523,58.33000183105469,94.79000091552734,1178.5,9.311200141906738,0.940500020980835,117.0
2015-06-30,2074.199951171875,2063.110107421875,1118.219970703125,2.3350000381469727,18.229999542236328,2.623500108718872,31.089799880981445,59.470001220703125,95.48999786376953,1171.5,9.125399589538574,0.9258999824523926,110.16999816894531
2015-07-01,2097.889892578125,2077.419921875,1117.56005859375,2.4179999828338623,16.09000015258789,2.635499954223633,31.066261291503906,56.959999084472656,96.30999755859375,1169.0,9.14799976348877,0.9347000122070312,97.5999984741211
2015-07-02,2107.330078125,2076.780029296875,1122.9300537109375,2.3929998874664307,16.790000915527344,2.634500026702881,31.215349197387695,56.93000030517578,96.11000061035156,1163.0,9.11359977722168,0.9487400054931641,105.13999938964844
2015-07-03,2104.409912109375,2076.780029296875,1120.949951171875,2.3929998874664307,16.790000915527344,2.634500026702881,31.215349197387695,56.93000030517578,96.11000061035156,1163.0,9.113800048828125,0.9434000253677368,105.13999938964844
2015-07-06,2053.929931640625,2068.760009765625,1120.949951171875,2.2780001163482666,17.010000228881836,2.5429999828338623,30.34433937072754,52.529998779296875,96.30000305175781,1172.9000244140625,9.255200386047363,0.944100022315979,105.97000122070312
2015-07-07,2040.2900390625,2081.340087890625,1124.22998046875,2.2309999465942383,16.09000015258789,2.4509999752044678,29.889209747314453,52.33000183105469,96.87000274658203,1152.4000244140625,9.172200202941895,0.9429299831390381,99.3499984741211
2015-07-08,2016.2099609375,2046.6800537109375,1132.9300537109375,2.2060000896453857,19.65999984741211,2.503999948501587,28.86125373840332,51.650001525878906,96.29000091552734,1163.300048828125,9.25510025024414,0.9465600252151489,111.66999816894531
2015-07-09,2027.81005859375,2051.31005859375,1134.43994140625,2.3010001182556152,19.969999313354492,2.558000087738037,29.41838836669922,52.779998779296875,96.61000061035156,1159.0,9.391400337219238,0.9455999732017517,115.36000061035156
2015-07-10,2031.1700439453125,2076.6201171875,1131.030029296875,2.4170000553131104,16.829999923706055,2.5455000400543213,30.163860321044922,52.7400016784668,96.02999877929688,1157.699951171875,9.296600341796875,0.9478999972343445,101.19000244140625
2015-07-13,2061.52001953125,2099.60009765625,1129.0400390625,2.430000066757202,13.899999618530273,2.555500030517578,30.367877960205078,52.20000076293945,96.86000061035156,1155.199951171875,9.253199577331543,0.9400299787521362,85.94999694824219
2015-07-14,2059.22998046875,2108.949951171875,1134.8199462890625,2.3989999294281006,13.369999885559082,2.5445001125335693,30.422805786132812,53.040000915527344,96.63999938964844,1153.300048828125,9.180700302124023,0.9503999948501587,87.3499984741211
2015-07-15,2072.909912109375,2107.39990234375,1141.3699951171875,2.3499999046325684,13.229999542236328,2.5304999351501465,30.077537536621094,51.40999984741211,97.12999725341797,1147.199951171875,9.259900093078613,0.9448699951171875,90.80999755859375
2015-07-16,2087.889892578125,2124.2900390625,1144.9200439453125,2.3519999980926514,12.109999656677246,2.5315001010894775,30.454195022583008,50.90999984741211,97.66000366210938,1143.800048828125,9.246399879455566,0.9521999955177307,87.12000274658203
2015-07-17,2076.7900390625,2126.639892578125,1145.1500244140625,2.3489999771118164,11.949999809265137,2.504499912261963,30.41495704650879,50.88999938964844,97.86000061035156,1131.800048828125,9.228799819946289,0.957099974155426,85.31999969482422
2015-07-20,2073.31005859375,2128.280029296875,1148.1099853515625,2.371999979019165,12.25,2.4839999675750732,30.21878433227539,50.150001525878906,98.02999877929688,1106.699951171875,9.256199836730957,0.9621999859809875,84.37999725341797
2015-07-21,2083.6201171875,2119.2099609375,1154.550048828125,2.3399999141693115,12.220000267028809,2.4774999618530273,30.22663116455078,50.36000061035156,97.33000183105469,1103.4000244140625,9.292699813842773,0.9634000062942505,82.55999755859375
2015-07-22,2064.72998046875,2114.14990234375,1146.8599853515625,2.322000026702881,12.119999885559082,2.43149995803833,29.79505157470703,49.189998626708984,97.5999984741211,1091.4000244140625,9.263099670410156,0.9580000042915344,78.88999938964844
2015-07-23,2065.070068359375,2102.14990234375,1155.530029296875,2.2769999504089355,12.640000343322754,2.385499954223633,29.50471305847168,48.45000076293945,97.12000274658203,1094.0,9.320699691772461,0.9596999883651733,81.63999938964844
